[12:30:25] === Smoke test: ARCC ===
[15:03:06] ACSL 2025-03-31: LLM no result
[15:03:12] CPCI 2025-12-31: LLM no result
[15:03:17] CPCI 2025-09-30: LLM no result
[15:03:22] CPCI 2025-06-30: LLM no result
[15:03:27] CPCI 2025-03-31: LLM no result
[15:03:32] CPCI 2024-12-31: LLM no result
[15:03:38] ACBDC 2025-12-31: LLM no result
[15:03:46] ACBDC 2025-09-30: LLM no result
[15:03:54] ACBDC 2025-06-30: LLM no result
[15:03:59] ACBDC 2025-03-31: LLM no result
[15:04:04] ACBDC 2024-12-31: LLM no result
[15:04:05] committed+pushed: Phase 4 LLM enrichment: 50 funds processed, +158 cells
[15:04:11] LSUSA 2025-12-31: LLM no result
[15:04:16] LSUSA 2025-09-30: LLM no result
[15:04:21] LSUSA 2025-06-30: LLM no result
[15:04:26] LSUSA 2025-03-31: LLM no result
[15:04:31] MMAIP 2025-12-31: LLM no result
[15:04:36] MMAIP 2025-09-30: LLM no result
[15:04:41] MMAIP 2025-06-30: LLM no result
[15:04:47] MMAIP 2025-03-31: LLM no result
[15:04:53] WTCAP 2025-12-31: LLM no result
[15:04:58] WTCAP 2025-09-30: LLM no result
[15:05:03] WTCAP 2025-06-30: LLM no result
[15:05:09] WTCAP 2025-03-31: LLM no result
[15:05:15] WTCAP 2024-12-31: LLM no result
[15:05:21] KAYN 2025-12-31: LLM no result
[15:05:25] KAYN 2025-09-30: LLM no result
[15:05:30] KAYN 2025-06-30: LLM no result
[15:05:35] KAYN 2025-03-31: LLM no result
[15:05:41] CLSOL 2025-12-31: LLM no result
[15:05:45] CLSOL 2025-09-30: LLM no result
[15:05:51] NCBV 2025-12-31: LLM no result
[15:05:56] NCBV 2025-09-30: LLM no result
[15:06:02] SCHOL 2025-12-31: LLM no result
[15:06:06] SCHOL 2025-09-30: LLM no result
[15:06:12] SCHOL 2025-06-30: LLM no result
[15:06:16] SCHOL 2025-03-31: LLM no result
[15:06:21] SCHOL 2024-12-31: LLM no result
[15:06:27] FEPC 2025-12-31: LLM no result
[15:06:32] FEPC 2025-09-30: LLM no result
[15:06:38] FEPC 2025-06-30: LLM no result
[15:06:43] FEPC 2025-03-31: LLM no result
[15:06:47] FEPC 2024-12-31: LLM no result
[15:06:53] SPCI 2025-12-31: LLM no result
[15:06:58] SPCI 2025-09-30: LLM no result
[15:07:02] SPCI 2025-06-30: LLM no result
[15:07:07] SPCI 2025-03-31: LLM no result
[15:07:11] SPCI 2024-12-31: LLM no result
[15:07:17] CSLI 2024-09-30: LLM no result
[15:07:22] CSLI 2024-06-30: LLM no result
[15:07:27] CSLI 2024-03-31: LLM no result
[15:07:32] CSLI 2023-12-31: LLM no result
[15:07:37] CSLI 2023-09-30: LLM no result
[15:07:39] committed+pushed: Phase 4 LLM enrichment: 60 funds processed, +158 cells
[15:07:45] LPART 2025-12-31: LLM no result
[15:07:50] LPART 2025-09-30: LLM no result
[15:07:55] LPART 2025-06-30: LLM no result
[15:08:00] LPART 2025-03-31: LLM no result
[15:08:06] SMLM 2025-12-31: LLM no result
[15:08:10] SMLM 2025-09-30: LLM no result
[15:08:15] SMLM 2025-06-30: LLM no result
[15:08:20] SMLM 2025-03-31: LLM no result
[15:08:25] SMLM 2024-12-31: LLM no result
[15:08:31] TDLEN 2025-12-31: LLM no result
[15:08:36] TDLEN 2025-09-30: LLM no result
[15:08:41] TDLEN 2025-06-30: LLM no result
[15:08:46] TDLEN 2025-03-31: LLM no result
[15:08:50] TDLEN 2024-12-31: LLM no result
[15:08:56] LPCL 2025-12-31: LLM no result
[15:09:01] LPCL 2025-09-30: LLM no result
[15:09:06] LPCL 2025-06-30: LLM no result
[15:09:11] LPCL 2025-03-31: LLM no result
[15:09:16] LPCRE 2025-12-31: LLM no result
[15:09:22] LPCRE 2025-09-30: LLM no result
[15:09:26] LPCRE 2025-06-30: LLM no result
[15:09:32] LPCRE 2025-03-31: LLM no result
[15:09:36] LPCRE 2024-12-31: LLM no result
[15:09:42] WBBDC 2025-12-31: LLM no result
[15:09:47] WBBDC 2025-09-30: LLM no result
[15:09:52] WBBDC 2025-06-30: LLM no result
[15:09:56] WBBDC 2025-03-31: LLM no result
[15:10:02] WBBDC 2024-12-31: LLM no result
[15:10:08] ODLB 2025-12-31: LLM no result
[15:10:13] ODLB 2025-09-30: LLM no result
[15:10:18] ODLB 2025-06-30: LLM no result
[15:10:23] ODLB 2025-03-31: LLM no result
[15:10:29] RCAPI 2025-12-31: LLM no result
[15:10:34] RCAPI 2025-09-30: LLM no result
[15:10:39] PCSB 2025-12-31: LLM no result
[15:10:44] PCSB 2025-09-30: LLM no result
[15:10:48] PCSB 2025-06-30: LLM no result
[15:10:53] PCSB 2025-03-31: LLM no result
[15:10:58] PCSB 2024-12-31: LLM no result
[15:11:04] LECRE 2025-12-31: LLM no result
[15:11:08] LECRE 2025-09-30: LLM no result
[15:11:13] LECRE 2025-06-30: LLM no result
[15:11:21] LECRE 2025-03-31: LLM no result
[15:11:23] committed+pushed: Phase 4 LLM enrichment: 70 funds processed, +158 cells
[15:11:28] TSCSL 2025-12-31: LLM no result
[15:11:34] BPLEN 2025-12-31: LLM no result
[15:11:40] BPLEN 2025-09-30: LLM no result
[15:11:45] BPLEN 2025-06-30: LLM no result
[15:11:49] BPLEN 2025-03-31: LLM no result
[15:11:55] MCLI 2025-12-31: LLM no result
[15:12:02] MCLI 2025-09-30: LLM no result
[15:12:07] MCLI 2025-06-30: LLM no result
[15:12:11] MCLI 2025-03-31: LLM no result
[15:12:16] MCLI 2024-12-31: LLM no result
[15:12:22] SPDLB 2025-12-31: LLM no result
[15:12:28] LRFIN 2025-03-31: LLM no result
[15:12:33] LRFIN 2024-12-31: LLM no result
[15:12:38] LRFIN 2024-09-30: LLM no result
[15:12:42] LRFIN 2024-06-30: LLM no result
[15:12:47] LRFIN 2024-03-31: LLM no result
[15:12:54] PPINC 2025-12-31: LLM no result
[15:13:01] ASCI 2025-12-31: LLM no result
[15:13:07] ASCI 2025-09-30: LLM no result
[15:13:07] ASCFI: no cik, skip
[15:13:13] EPTSS 2025-12-31: LLM no result
[15:13:18] EPTSS 2025-09-30: LLM no result
[15:13:23] SCCAP 2025-12-31: LLM no result
[15:13:28] SCCAP 2025-09-30: LLM no result
[15:13:33] SCCAP 2025-06-30: LLM no result
[15:13:39] SCCAP 2025-03-31: LLM no result
[15:13:44] SCCAP 2024-12-31: LLM no result
[15:13:45] committed+pushed: Phase 4 LLM enrichment: 80 funds processed, +158 cells
[15:13:51] NCAPI 2025-12-31: LLM no result
[15:13:56] NCAPI 2025-09-30: LLM no result
[15:14:01] NCAPI 2025-06-30: LLM no result
[15:14:05] NCAPI 2025-03-31: LLM no result
[15:14:10] NCAPI 2024-12-31: LLM no result
[15:14:16] PFRAI 2025-12-31: LLM no result
[15:14:21] PFRAI 2025-09-30: LLM no result
[15:14:26] PFRAI 2025-06-30: LLM no result
[15:14:31] PFRAI 2025-03-31: LLM no result
[15:14:37] HPCI 2025-12-31: LLM no result
[15:14:42] HPCI 2025-09-30: LLM no result
[15:14:46] HPCI 2025-06-30: LLM no result
[15:14:51] HPCI 2025-03-31: LLM no result
[15:14:57] ARCC 2026-03-31: LLM no result
[15:15:02] ARCC 2025-12-31: LLM no result
[15:15:08] ARCC 2025-09-30: LLM no result
[15:15:15] ARCC 2025-06-30: LLM no result
[15:15:20] ARCC 2025-03-31: LLM no result
[15:15:26] BBDC 2025-12-31: LLM no result
[15:15:31] BBDC 2025-09-30: LLM no result
[15:15:36] BBDC 2025-06-30: LLM no result
[15:15:41] BBDC 2025-03-31: LLM no result
[15:15:48] BCIC 2025-12-31: LLM no result
[15:15:54] BCIC 2025-09-30: LLM no result
[15:15:58] BCIC 2025-06-30: LLM no result
[15:16:04] BCIC 2025-03-31: LLM no result
[15:16:10] BCSF 2025-12-31: LLM no result
[15:16:16] BCSF 2025-09-30: LLM no result
[15:16:21] BCSF 2025-06-30: LLM no result
[15:16:26] BCSF 2025-03-31: LLM no result
[15:16:26] OBDE: no cik, skip
[15:16:36] BXSL 2025-12-31: LLM no result
[15:16:41] BXSL 2025-09-30: LLM no result
[15:16:46] BXSL 2025-06-30: LLM no result
[15:16:51] BXSL 2025-03-31: LLM no result
[15:16:58] CCAP 2025-12-31: LLM no result
[15:17:03] CCAP 2025-09-30: LLM no result
[15:17:08] CCAP 2025-06-30: LLM no result
[15:17:14] CCAP 2025-03-31: LLM no result
[15:17:19] CCAP 2024-12-31: LLM no result
[15:17:21] committed+pushed: Phase 4 LLM enrichment: 90 funds processed, +158 cells
[15:17:27] CGBD 2025-12-31: LLM no result
[15:17:32] CGBD 2025-09-30: LLM no result
[15:17:37] CGBD 2025-06-30: LLM no result
[15:17:42] CGBD 2025-03-31: LLM no result
[15:17:49] CION 2025-12-31: LLM no result
[15:17:55] CION 2025-09-30: LLM no result
[15:17:59] CION 2025-06-30: LLM no result
[15:18:04] CION 2025-03-31: LLM no result
[15:18:10] CSWC 2025-09-30: LLM no result
[15:18:15] CSWC 2025-06-30: LLM no result
[15:18:20] CSWC 2024-12-31: LLM no result
[15:18:26] EQS 2025-12-31: LLM no result
[15:18:30] EQS 2025-09-30: LLM no result
[15:18:35] EQS 2025-06-30: LLM no result
[15:18:41] EQS 2025-03-31: LLM no result
[15:18:45] EQS 2024-12-31: LLM no result
[15:18:51] FDUS 2025-12-31: LLM no result
[15:18:56] FDUS 2025-09-30: LLM no result
[15:19:01] FDUS 2025-06-30: LLM no result
[15:19:07] FDUS 2025-03-31: LLM no result
[15:19:13] FSK 2025-12-31: LLM no result
[15:19:18] FSK 2025-09-30: LLM no result
[15:19:23] FSK 2025-06-30: LLM no result
[15:19:27] FSK 2025-03-31: LLM no result
[15:19:34] GAIN 2025-09-30: LLM no result
[15:19:39] GAIN 2025-06-30: LLM no result
[15:19:44] GAIN 2024-12-31: LLM no result
[15:19:50] GBDC 2025-09-30: LLM no result
[15:19:55] GBDC 2025-06-30: LLM no result
[15:20:00] GBDC 2025-03-31: LLM no result
[15:20:06] GECC 2025-12-31: LLM no result
[15:20:11] GECC 2025-09-30: LLM no result
[15:20:16] GECC 2025-06-30: LLM no result
[15:20:20] GECC 2025-03-31: LLM no result
[15:20:27] GLAD 2025-09-30: LLM no result
[15:20:31] GLAD 2025-06-30: LLM no result
[15:20:36] GLAD 2025-03-31: LLM no result
[15:20:37] committed+pushed: Phase 4 LLM enrichment: 100 funds processed, +158 cells
[15:20:43] GSBD 2025-12-31: LLM no result
[15:20:48] GSBD 2025-09-30: LLM no result
[15:20:53] GSBD 2025-06-30: LLM no result
[15:20:58] GSBD 2025-03-31: LLM no result
[15:21:04] HRZN 2025-12-31: LLM no result
[15:21:09] HRZN 2025-09-30: LLM no result
[15:21:14] HRZN 2025-06-30: LLM no result
[15:21:19] HRZN 2025-03-31: LLM no result
[15:21:24] HTGC 2025-12-31: LLM no result
[15:21:29] HTGC 2025-09-30: LLM no result
[15:21:34] HTGC 2025-06-30: LLM no result
[15:21:39] HTGC 2025-03-31: LLM no result
[15:21:45] ICMB 2025-12-31: LLM no result
[15:21:50] ICMB 2025-09-30: LLM no result
[15:21:54] ICMB 2025-06-30: LLM no result
[15:22:00] ICMB 2025-03-31: LLM no result
[15:22:05] ICMB 2024-09-30: LLM no result
[15:22:12] KBDC 2025-12-31: LLM no result
[15:22:17] KBDC 2025-09-30: LLM no result
[15:22:23] KBDC 2025-06-30: LLM no result
[15:22:29] KBDC 2025-03-31: LLM no result
[15:22:35] MAIN 2025-12-31: LLM no result
[15:22:40] MAIN 2025-09-30: LLM no result
[15:22:45] MAIN 2025-06-30: LLM no result
[15:22:50] MAIN 2025-03-31: LLM no result
[15:22:57] MFIC 2025-12-31: LLM no result
[15:23:05] MFIC 2025-09-30: LLM no result
[15:23:11] MFIC 2025-06-30: LLM no result
[15:23:16] MFIC 2025-03-31: LLM no result
[15:23:22] MSDL 2025-12-31: LLM no result
[15:23:27] MSDL 2025-09-30: LLM no result
[15:23:31] MSDL 2025-06-30: LLM no result
[15:23:36] MSDL 2025-03-31: LLM no result
[15:23:36] MRCC: no cik, skip
[15:23:42] MSIF 2025-12-31: LLM no result
[15:23:46] MSIF 2025-09-30: LLM no result
[15:23:51] MSIF 2025-06-30: LLM no result
[15:23:56] MSIF 2025-03-31: LLM no result
[15:23:57] committed+pushed: Phase 4 LLM enrichment: 110 funds processed, +158 cells
[15:24:03] NMFC 2025-12-31: LLM no result
[15:24:08] NMFC 2025-09-30: LLM no result
[15:24:13] NMFC 2025-06-30: LLM no result
[15:24:18] NMFC 2025-03-31: LLM no result
[15:24:25] OBDC 2025-12-31: LLM no result
[15:24:30] OBDC 2025-09-30: LLM no result
[15:24:35] OBDC 2025-06-30: LLM no result
[15:24:40] OBDC 2025-03-31: LLM no result
[15:24:46] OCSL 2025-09-30: LLM no result
[15:24:51] OCSL 2025-06-30: LLM no result
[15:24:56] OCSL 2025-03-31: LLM no result
[15:25:02] OFS 2025-12-31: LLM no result
[15:25:07] OFS 2025-09-30: LLM no result
[15:25:12] OFS 2025-06-30: LLM no result
[15:25:17] OFS 2025-03-31: LLM no result
[15:25:24] OXSQ 2025-12-31: LLM no result
[15:25:29] OXSQ 2025-09-30: LLM no result
[15:25:34] OXSQ 2025-06-30: LLM no result
[15:25:39] OXSQ 2025-03-31: LLM no result
[15:25:46] PFLT 2025-09-30: LLM no result
